Zeitraum;kWh;Euro;kgCO2;Status
23.10.2022 06:30 - 06:45;3251,000;0,00;1745,787;Ersatzwert
23.10.2022 06:45 - 07:00;3092,000;0,00;1660,404;Ersatzwert
23.10.2022 07:00 - 07:15;3034,000;0,00;1629,258;Ersatzwert
23.10.2022 07:15 - 07:30;3320,000;0,00;1782,840;Ersatzwert
23.10.2022 07:30 - 07:45;3240,000;0,00;1739,880;Ersatzwert
23.10.2022 07:45 - 08:00;3684,000;0,00;1978,308;Ersatzwert
23.10.2022 08:00 - 08:15;3509,000;0,00;1884,333;Ersatzwert
23.10.2022 08:15 - 08:30;3489,000;0,00;1873,593;Ersatzwert
23.10.2022 08:30 - 08:45;3578,000;0,00;1921,386;Ersatzwert
23.10.2022 08:45 - 09:00;3521,000;0,00;1890,777;Ersatzwert
23.10.2022 09:00 - 09:15;3437,000;0,00;1845,669;Ersatzwert
23.10.2022 09:15 - 09:30;3420,000;0,00;1836,540;Ersatzwert
23.10.2022 09:30 - 09:45;3237,000;0,00;1738,269;Ersatzwert
23.10.2022 09:45 - 10:00;3402,000;0,00;1826,874;Ersatzwert
23.10.2022 10:00 - 10:15;3404,000;0,00;1827,948;Ersatzwert
23.10.2022 10:15 - 10:30;3339,000;0,00;1793,043;Ersatzwert
23.10.2022 10:30 - 10:45;3308,000;0,00;1776,396;Ersatzwert
23.10.2022 10:45 - 11:00;3559,000;0,00;1911,183;Ersatzwert
23.10.2022 11:00 - 11:15;3686,000;0,00;1979,382;Ersatzwert
23.10.2022 11:15 - 11:30;3487,000;0,00;1872,519;Ersatzwert
23.10.2022 11:30 - 11:45;3426,000;0,00;1839,762;Ersatzwert
23.10.2022 11:45 - 12:00;3372,000;0,00;1810,764;Ersatzwert
23.10.2022 12:00 - 12:15;3250,000;0,00;1745,250;Ersatzwert
23.10.2022 12:15 - 12:30;3254,000;0,00;1747,398;Ersatzwert
23.10.2022 12:30 - 12:45;3285,000;0,00;1764,045;Ersatzwert
23.10.2022 12:45 - 13:00;3314,000;0,00;1779,618;Ersatzwert
23.10.2022 13:00 - 13:15;3266,000;0,00;1753,842;Ersatzwert
23.10.2022 13:15 - 13:30;3023,000;0,00;1623,351;Ersatzwert
23.10.2022 13:30 - 13:45;3105,000;0,00;1667,385;Ersatzwert
23.10.2022 13:45 - 14:00;2844,000;0,00;1527,228;Ersatzwert
23.10.2022 14:00 - 14:15;2992,000;0,00;1606,704;Ersatzwert
23.10.2022 14:15 - 14:30;3068,000;0,00;1647,516;Ersatzwert
23.10.2022 14:30 - 14:45;3029,000;0,00;1626,573;Ersatzwert
23.10.2022 14:45 - 15:00;2876,000;0,00;1544,412;Ersatzwert
23.10.2022 15:00 - 15:15;2765,000;0,00;1484,805;Ersatzwert
23.10.2022 15:15 - 15:30;3036,000;0,00;1630,332;Ersatzwert
23.10.2022 15:30 - 15:45;3030,000;0,00;1627,110;Ersatzwert
23.10.2022 15:45 - 16:00;3094,000;0,00;1661,478;Ersatzwert
23.10.2022 16:00 - 16:15;3214,000;0,00;1725,918;Ersatzwert
23.10.2022 16:15 - 16:30;3332,000;0,00;1789,284;Ersatzwert
23.10.2022 16:30 - 16:45;3433,000;0,00;1843,521;Ersatzwert
23.10.2022 16:45 - 17:00;3309,000;0,00;1776,933;Ersatzwert
23.10.2022 17:00 - 17:15;3297,000;0,00;1770,489;Ersatzwert
23.10.2022 17:15 - 17:30;3259,000;0,00;1750,083;Ersatzwert
23.10.2022 17:30 - 17:45;3189,000;0,00;1712,493;Ersatzwert
23.10.2022 17:45 - 18:00;3098,000;0,00;1663,626;Ersatzwert
23.10.2022 18:00 - 18:15;3426,000;0,00;1839,762;Ersatzwert
23.10.2022 18:15 - 18:30;3415,000;0,00;1833,855;Ersatzwert
23.10.2022 18:30 - 18:45;3267,000;0,00;1754,379;Ersatzwert
23.10.2022 18:45 - 19:00;3186,000;0,00;1710,882;Ersatzwert
23.10.2022 19:00 - 19:15;3287,000;0,00;1765,119;Ersatzwert
23.10.2022 19:15 - 19:30;3113,000;0,00;1671,681;Ersatzwert
23.10.2022 19:30 - 19:45;3033,000;0,00;1628,721;Ersatzwert
23.10.2022 19:45 - 20:00;2850,000;0,00;1530,450;Ersatzwert
23.10.2022 20:00 - 20:15;3247,000;0,00;1743,639;Ersatzwert
23.10.2022 20:15 - 20:30;3326,000;0,00;1786,062;Ersatzwert
23.10.2022 20:30 - 20:45;3327,000;0,00;1786,599;Ersatzwert
23.10.2022 20:45 - 21:00;3312,000;0,00;1778,544;Ersatzwert
23.10.2022 21:00 - 21:15;3553,000;0,00;1907,961;Ersatzwert
23.10.2022 21:15 - 21:30;3564,000;0,00;1913,868;Ersatzwert
23.10.2022 21:30 - 21:45;3478,000;0,00;1867,686;Ersatzwert
23.10.2022 21:45 - 22:00;3469,000;0,00;1862,853;Ersatzwert
23.10.2022 22:00 - 22:15;3599,000;0,00;1932,663;Ersatzwert
23.10.2022 22:15 - 22:30;3712,000;0,00;1993,344;Ersatzwert
23.10.2022 22:30 - 22:45;3609,000;0,00;1938,033;Ersatzwert
23.10.2022 22:45 - 23:00;3076,000;0,00;1651,812;Ersatzwert
23.10.2022 23:00 - 23:15;2950,000;0,00;1584,150;Ersatzwert
23.10.2022 23:15 - 23:30;3084,000;0,00;1656,108;Ersatzwert
23.10.2022 23:30 - 23:45;3259,000;0,00;1750,083;Ersatzwert
23.10.2022 23:45 - 00:00;3221,000;0,00;1729,677;Ersatzwert
24.10.2022 00:00 - 00:15;3566,000;0,00;1914,942;Ersatzwert
24.10.2022 00:15 - 00:30;3359,000;0,00;1803,783;Ersatzwert
24.10.2022 00:30 - 00:45;3293,000;0,00;1768,341;Ersatzwert
24.10.2022 00:45 - 01:00;3113,000;0,00;1671,681;Ersatzwert
24.10.2022 01:00 - 01:15;3264,000;0,00;1752,768;Ersatzwert
24.10.2022 01:15 - 01:30;3268,000;0,00;1754,916;Ersatzwert
24.10.2022 01:30 - 01:45;3163,000;0,00;1698,531;Ersatzwert
24.10.2022 01:45 - 02:00;3344,000;0,00;1795,728;Ersatzwert
24.10.2022 02:00 - 02:15;3600,000;0,00;1933,200;Ersatzwert
24.10.2022 02:15 - 02:30;3729,000;0,00;2002,473;Ersatzwert
24.10.2022 02:30 - 02:45;3683,000;0,00;1977,771;Ersatzwert
24.10.2022 02:45 - 03:00;3564,000;0,00;1913,868;Ersatzwert
24.10.2022 03:00 - 03:15;3701,000;0,00;1987,437;Ersatzwert
24.10.2022 03:15 - 03:30;3524,000;0,00;1892,388;Ersatzwert
24.10.2022 03:30 - 03:45;3351,000;0,00;1799,487;Ersatzwert
24.10.2022 03:45 - 04:00;3425,000;0,00;1839,225;Ersatzwert
24.10.2022 04:00 - 04:15;3386,000;0,00;1818,282;Ersatzwert
24.10.2022 04:15 - 04:30;3601,000;0,00;1933,737;Ersatzwert
24.10.2022 04:30 - 04:45;3652,000;0,00;1961,124;Ersatzwert
24.10.2022 04:45 - 05:00;3617,000;0,00;1942,329;Ersatzwert
24.10.2022 05:00 - 05:15;3578,000;0,00;1921,386;Ersatzwert
24.10.2022 05:15 - 05:30;3709,000;0,00;1991,733;Ersatzwert
24.10.2022 05:30 - 05:45;3765,000;0,00;2021,805;Ersatzwert
24.10.2022 05:45 - 06:00;3741,000;0,00;2008,917;Ersatzwert
24.10.2022 06:00 - 06:15;3791,000;0,00;2035,767;Ersatzwert
24.10.2022 06:15 - 06:30;3481,000;0,00;1869,297;Ersatzwert
24.10.2022 06:30 - 06:45;3424,000;0,00;1838,688;Ersatzwert
24.10.2022 06:45 - 07:00;3200,000;0,00;1718,400;Ersatzwert
24.10.2022 07:00 - 07:15;3551,000;0,00;1906,887;Ersatzwert
24.10.2022 07:15 - 07:30;3767,000;0,00;2022,879;Ersatzwert
24.10.2022 07:30 - 07:45;3752,000;0,00;2014,824;Ersatzwert
24.10.2022 07:45 - 08:00;3771,000;0,00;2025,027;Ersatzwert
24.10.2022 08:00 - 08:15;3903,000;0,00;2095,911;Ersatzwert
24.10.2022 08:15 - 08:30;3733,000;0,00;2004,621;Ersatzwert
24.10.2022 08:30 - 08:45;3673,000;0,00;1972,401;Ersatzwert
24.10.2022 08:45 - 09:00;3823,000;0,00;2052,951;Ersatzwert
24.10.2022 09:00 - 09:15;3712,000;0,00;1993,344;Ersatzwert
24.10.2022 09:15 - 09:30;3791,000;0,00;2035,767;Ersatzwert
24.10.2022 09:30 - 09:45;3892,000;0,00;2090,004;Ersatzwert
24.10.2022 09:45 - 10:00;3801,000;0,00;2041,137;Ersatzwert
24.10.2022 10:00 - 10:15;3918,000;0,00;2103,966;Ersatzwert
24.10.2022 10:15 - 10:30;3897,000;0,00;2092,689;Ersatzwert
24.10.2022 10:30 - 10:45;4025,000;0,00;2161,425;Ersatzwert
24.10.2022 10:45 - 11:00;4055,000;0,00;2177,535;Ersatzwert
24.10.2022 11:00 - 11:15;3884,000;0,00;2085,708;Ersatzwert
24.10.2022 11:15 - 11:30;3735,000;0,00;2005,695;Ersatzwert
24.10.2022 11:30 - 11:45;3467,000;0,00;1861,779;Ersatzwert
24.10.2022 11:45 - 12:00;3497,000;0,00;1877,889;Ersatzwert
24.10.2022 12:00 - 12:15;3607,000;0,00;1936,959;Ersatzwert
24.10.2022 12:15 - 12:30;3614,000;0,00;1940,718;Ersatzwert
24.10.2022 12:30 - 12:45;3458,000;0,00;1856,946;Ersatzwert
24.10.2022 12:45 - 13:00;3565,000;0,00;1914,405;Ersatzwert
24.10.2022 13:00 - 13:15;3628,000;0,00;1948,236;Ersatzwert
24.10.2022 13:15 - 13:30;3516,000;0,00;1888,092;Ersatzwert
24.10.2022 13:30 - 13:45;3650,000;0,00;1960,050;Ersatzwert
24.10.2022 13:45 - 14:00;3634,000;0,00;1951,458;Ersatzwert
24.10.2022 14:00 - 14:15;3698,000;0,00;1985,826;Ersatzwert
24.10.2022 14:15 - 14:30;3801,000;0,00;2041,137;Ersatzwert
24.10.2022 14:30 - 14:45;3827,000;0,00;2055,099;Ersatzwert
24.10.2022 14:45 - 15:00;3727,000;0,00;2001,399;Ersatzwert
24.10.2022 15:00 - 15:15;3521,000;0,00;1890,777;Ersatzwert
24.10.2022 15:15 - 15:30;3342,000;0,00;1794,654;Ersatzwert
24.10.2022 15:30 - 15:45;3513,000;0,00;1886,481;Ersatzwert
24.10.2022 15:45 - 16:00;3828,000;0,00;2055,636;Ersatzwert
24.10.2022 16:00 - 16:15;3788,000;0,00;2034,156;Ersatzwert
24.10.2022 16:15 - 16:30;3988,000;0,00;2141,556;Ersatzwert
24.10.2022 16:30 - 16:45;3932,000;0,00;2111,484;Ersatzwert
24.10.2022 16:45 - 17:00;3898,000;0,00;2093,226;Ersatzwert
24.10.2022 17:00 - 17:15;3778,000;0,00;2028,786;Ersatzwert
24.10.2022 17:15 - 17:30;3654,000;0,00;1962,198;Ersatzwert
24.10.2022 17:30 - 17:45;3370,000;0,00;1809,690;Ersatzwert
24.10.2022 17:45 - 18:00;3553,000;0,00;1907,961;Ersatzwert
24.10.2022 18:00 - 18:15;3691,000;0,00;1982,067;Ersatzwert
24.10.2022 18:15 - 18:30;3736,000;0,00;2006,232;Ersatzwert
24.10.2022 18:30 - 18:45;3626,000;0,00;1947,162;Ersatzwert
24.10.2022 18:45 - 19:00;3703,000;0,00;1988,511;Ersatzwert
24.10.2022 19:00 - 19:15;3798,000;0,00;2039,526;Ersatzwert
24.10.2022 19:15 - 19:30;3946,000;0,00;2119,002;Ersatzwert
24.10.2022 19:30 - 19:45;3738,000;0,00;2007,306;Ersatzwert
24.10.2022 19:45 - 20:00;3122,000;0,00;1676,514;Ersatzwert
24.10.2022 20:00 - 20:15;3073,000;0,00;1650,201;Ersatzwert
24.10.2022 20:15 - 20:30;3454,000;0,00;1854,798;Ersatzwert
24.10.2022 20:30 - 20:45;3582,000;0,00;1923,534;Ersatzwert
24.10.2022 20:45 - 21:00;3606,000;0,00;1936,422;Ersatzwert
24.10.2022 21:00 - 21:15;3577,000;0,00;1920,849;Ersatzwert
24.10.2022 21:15 - 21:30;3361,000;0,00;1804,857;Ersatzwert
24.10.2022 21:30 - 21:45;3307,000;0,00;1775,859;Ersatzwert
24.10.2022 21:45 - 22:00;3330,000;0,00;1788,210;Ersatzwert
24.10.2022 22:00 - 22:15;3512,000;0,00;1885,944;Ersatzwert
24.10.2022 22:15 - 22:30;3756,000;0,00;2016,972;Ersatzwert
24.10.2022 22:30 - 22:45;3620,000;0,00;1943,940;Ersatzwert
24.10.2022 22:45 - 23:00;3577,000;0,00;1920,849;Ersatzwert
24.10.2022 23:00 - 23:15;3554,000;0,00;1908,498;Ersatzwert
24.10.2022 23:15 - 23:30;3575,000;0,00;1919,775;Ersatzwert
24.10.2022 23:30 - 23:45;3541,000;0,00;1901,517;Ersatzwert
24.10.2022 23:45 - 00:00;3544,000;0,00;1903,128;Ersatzwert
25.10.2022 00:00 - 00:15;3814,000;0,00;2048,118;Ersatzwert
25.10.2022 00:15 - 00:30;4087,000;0,00;2194,719;Ersatzwert
25.10.2022 00:30 - 00:45;4085,000;0,00;2193,645;Ersatzwert
25.10.2022 00:45 - 01:00;3835,000;0,00;2059,395;Ersatzwert
25.10.2022 01:00 - 01:15;3938,000;0,00;2114,706;Ersatzwert
25.10.2022 01:15 - 01:30;3728,000;0,00;2001,936;Ersatzwert
25.10.2022 01:30 - 01:45;3471,000;0,00;1863,927;Ersatzwert
25.10.2022 01:45 - 02:00;3696,000;0,00;1984,752;Ersatzwert
25.10.2022 02:00 - 02:15;3732,000;0,00;2004,084;Ersatzwert
25.10.2022 02:15 - 02:30;3880,000;0,00;2083,560;Ersatzwert
25.10.2022 02:30 - 02:45;3720,000;0,00;1997,640;Ersatzwert
25.10.2022 02:45 - 03:00;3753,000;0,00;2015,361;Ersatzwert
25.10.2022 03:00 - 03:15;4079,000;0,00;2190,423;Ersatzwert
25.10.2022 03:15 - 03:30;4039,000;0,00;2168,943;Ersatzwert
25.10.2022 03:30 - 03:45;3490,000;0,00;1874,130;Ersatzwert
25.10.2022 03:45 - 04:00;3347,000;0,00;1797,339;Ersatzwert
25.10.2022 04:00 - 04:15;3448,000;0,00;1851,576;Ersatzwert
25.10.2022 04:15 - 04:30;3471,000;0,00;1863,927;Ersatzwert
25.10.2022 04:30 - 04:45;4124,000;0,00;2214,588;Ersatzwert
25.10.2022 04:45 - 05:00;4000,000;0,00;2148,000;Ersatzwert
25.10.2022 05:00 - 05:15;4251,000;0,00;2282,787;Ersatzwert
25.10.2022 05:15 - 05:30;4105,000;0,00;2204,385;Ersatzwert
25.10.2022 05:30 - 05:45;3885,000;0,00;2086,245;Ersatzwert
25.10.2022 05:45 - 06:00;3830,000;0,00;2056,710;Ersatzwert
25.10.2022 06:00 - 06:15;3732,000;0,00;2004,084;Ersatzwert
25.10.2022 06:15 - 06:30;3779,000;0,00;2029,323;Ersatzwert
25.10.2022 06:30 - 06:45;3737,000;0,00;2006,769;Ersatzwert
25.10.2022 06:45 - 07:00;3400,000;0,00;1825,800;Ersatzwert
25.10.2022 07:00 - 07:15;3457,000;0,00;1856,409;Ersatzwert
25.10.2022 07:15 - 07:30;3495,000;0,00;1876,815;Ersatzwert
25.10.2022 07:30 - 07:45;3885,000;0,00;2086,245;Ersatzwert
25.10.2022 07:45 - 08:00;3824,000;0,00;2053,488;Ersatzwert
25.10.2022 08:00 - 08:15;4209,000;0,00;2260,233;Ersatzwert
25.10.2022 08:15 - 08:30;3984,000;0,00;2139,408;Ersatzwert
25.10.2022 08:30 - 08:45;3703,000;0,00;1988,511;Ersatzwert
25.10.2022 08:45 - 09:00;3690,000;0,00;1981,530;Ersatzwert
25.10.2022 09:00 - 09:15;4030,000;0,00;2164,110;Ersatzwert
25.10.2022 09:15 - 09:30;4101,000;0,00;2202,237;Ersatzwert
25.10.2022 09:30 - 09:45;4315,000;0,00;2317,155;Ersatzwert
25.10.2022 09:45 - 10:00;4161,000;0,00;2234,457;Ersatzwert
25.10.2022 10:00 - 10:15;4243,000;0,00;2278,491;Ersatzwert
25.10.2022 10:15 - 10:30;4026,000;0,00;2161,962;Ersatzwert
25.10.2022 10:30 - 10:45;3802,000;0,00;2041,674;Ersatzwert
25.10.2022 10:45 - 11:00;3878,000;0,00;2082,486;Ersatzwert
25.10.2022 11:00 - 11:15;3880,000;0,00;2083,560;Ersatzwert
25.10.2022 11:15 - 11:30;3873,000;0,00;2079,801;Ersatzwert
25.10.2022 11:30 - 11:45;3621,000;0,00;1944,477;Ersatzwert
25.10.2022 11:45 - 12:00;3833,000;0,00;2058,321;Ersatzwert
25.10.2022 12:00 - 12:15;3714,000;0,00;1994,418;Ersatzwert
25.10.2022 12:15 - 12:30;3675,000;0,00;1973,475;Ersatzwert
25.10.2022 12:30 - 12:45;4015,000;0,00;2156,055;Ersatzwert
25.10.2022 12:45 - 13:00;3840,000;0,00;2062,080;Ersatzwert
25.10.2022 13:00 - 13:15;3786,000;0,00;2033,082;Ersatzwert
25.10.2022 13:15 - 13:30;3842,000;0,00;2063,154;Ersatzwert
25.10.2022 13:30 - 13:45;3682,000;0,00;1977,234;Ersatzwert
25.10.2022 13:45 - 14:00;3772,000;0,00;2025,564;Ersatzwert
25.10.2022 14:00 - 14:15;3773,000;0,00;2026,101;Ersatzwert
25.10.2022 14:15 - 14:30;3717,000;0,00;1996,029;Ersatzwert
25.10.2022 14:30 - 14:45;3763,000;0,00;2020,731;Ersatzwert
25.10.2022 14:45 - 15:00;3457,000;0,00;1856,409;Ersatzwert
25.10.2022 15:00 - 15:15;3254,000;0,00;1747,398;Ersatzwert
25.10.2022 15:15 - 15:30;3529,000;0,00;1895,073;Ersatzwert
25.10.2022 15:30 - 15:45;3468,000;0,00;1862,316;Ersatzwert
25.10.2022 15:45 - 16:00;3501,000;0,00;1880,037;Ersatzwert
25.10.2022 16:00 - 16:15;3470,000;0,00;1863,390;Ersatzwert
25.10.2022 16:15 - 16:30;3768,000;0,00;2023,416;Ersatzwert
25.10.2022 16:30 - 16:45;3725,000;0,00;2000,325;Ersatzwert
25.10.2022 16:45 - 17:00;3701,000;0,00;1987,437;Ersatzwert
25.10.2022 17:00 - 17:15;3704,000;0,00;1989,048;Ersatzwert
25.10.2022 17:15 - 17:30;3660,000;0,00;1965,420;Ersatzwert
25.10.2022 17:30 - 17:45;3520,000;0,00;1890,240;Ersatzwert
25.10.2022 17:45 - 18:00;3613,000;0,00;1940,181;Ersatzwert
25.10.2022 18:00 - 18:15;3667,000;0,00;1969,179;Ersatzwert
25.10.2022 18:15 - 18:30;3753,000;0,00;2015,361;Ersatzwert
25.10.2022 18:30 - 18:45;3792,000;0,00;2036,304;Ersatzwert
25.10.2022 18:45 - 19:00;3790,000;0,00;2035,230;Ersatzwert
25.10.2022 19:00 - 19:15;3782,000;0,00;2030,934;Ersatzwert
25.10.2022 19:15 - 19:30;3726,000;0,00;2000,862;Ersatzwert
25.10.2022 19:30 - 19:45;3785,000;0,00;2032,545;Ersatzwert
25.10.2022 19:45 - 20:00;3685,000;0,00;1978,845;Ersatzwert
25.10.2022 20:00 - 20:15;3336,000;0,00;1791,432;Ersatzwert
25.10.2022 20:15 - 20:30;3636,000;0,00;1952,532;Ersatzwert
25.10.2022 20:30 - 20:45;3577,000;0,00;1920,849;Ersatzwert
25.10.2022 20:45 - 21:00;3645,000;0,00;1957,365;Ersatzwert
25.10.2022 21:00 - 21:15;3612,000;0,00;1939,644;Ersatzwert
25.10.2022 21:15 - 21:30;3868,000;0,00;2077,116;Ersatzwert
25.10.2022 21:30 - 21:45;3665,000;0,00;1968,105;Ersatzwert
25.10.2022 21:45 - 22:00;3689,000;0,00;1980,993;Ersatzwert
25.10.2022 22:00 - 22:15;3960,000;0,00;2126,520;Ersatzwert
25.10.2022 22:15 - 22:30;3923,000;0,00;2106,651;Ersatzwert
25.10.2022 22:30 - 22:45;3828,000;0,00;2055,636;Ersatzwert
25.10.2022 22:45 - 23:00;3665,000;0,00;1968,105;Ersatzwert
25.10.2022 23:00 - 23:15;3522,000;0,00;1891,314;Ersatzwert
25.10.2022 23:15 - 23:30;3478,000;0,00;1867,686;Ersatzwert
25.10.2022 23:30 - 23:45;3578,000;0,00;1921,386;Ersatzwert
25.10.2022 23:45 - 00:00;3495,000;0,00;1876,815;Ersatzwert
26.10.2022 00:00 - 00:15;3551,000;0,00;1906,887;Ersatzwert
26.10.2022 00:15 - 00:30;3605,000;0,00;1935,885;Ersatzwert
26.10.2022 00:30 - 00:45;3942,000;0,00;2116,854;Ersatzwert
26.10.2022 00:45 - 01:00;4068,000;0,00;2184,516;Ersatzwert
26.10.2022 01:00 - 01:15;3971,000;0,00;2132,427;Ersatzwert
26.10.2022 01:15 - 01:30;3968,000;0,00;2130,816;Ersatzwert
26.10.2022 01:30 - 01:45;3730,000;0,00;2003,010;Ersatzwert
26.10.2022 01:45 - 02:00;3620,000;0,00;1943,940;Ersatzwert
26.10.2022 02:00 - 02:15;3828,000;0,00;2055,636;Ersatzwert
26.10.2022 02:15 - 02:30;3796,000;0,00;2038,452;Ersatzwert
26.10.2022 02:30 - 02:45;3805,000;0,00;2043,285;Ersatzwert
26.10.2022 02:45 - 03:00;3870,000;0,00;2078,190;Ersatzwert
26.10.2022 03:00 - 03:15;4069,000;0,00;2185,053;Ersatzwert
26.10.2022 03:15 - 03:30;3943,000;0,00;2117,391;Ersatzwert
26.10.2022 03:30 - 03:45;3566,000;0,00;1914,942;Ersatzwert
26.10.2022 03:45 - 04:00;3506,000;0,00;1882,722;Ersatzwert
26.10.2022 04:00 - 04:15;3637,000;0,00;1953,069;Ersatzwert
26.10.2022 04:15 - 04:30;3662,000;0,00;1966,494;Ersatzwert
26.10.2022 04:30 - 04:45;3885,000;0,00;2086,245;Ersatzwert
26.10.2022 04:45 - 05:00;3929,000;0,00;2109,873;Ersatzwert
26.10.2022 05:00 - 05:15;3938,000;0,00;2114,706;Ersatzwert
26.10.2022 05:15 - 05:30;3877,000;0,00;2081,949;Ersatzwert
26.10.2022 05:30 - 05:45;3790,000;0,00;2035,230;Ersatzwert
26.10.2022 05:45 - 06:00;3551,000;0,00;1906,887;Ersatzwert
26.10.2022 06:00 - 06:15;3973,000;0,00;2133,501;Ersatzwert
26.10.2022 06:15 - 06:30;3978,000;0,00;2136,186;Ersatzwert
26.10.2022 06:30 - 06:45;3849,000;0,00;2066,913;Ersatzwert
26.10.2022 06:45 - 07:00;3730,000;0,00;2003,010;Ersatzwert
26.10.2022 07:00 - 07:15;3639,000;0,00;1954,143;Ersatzwert
26.10.2022 07:15 - 07:30;3785,000;0,00;2032,545;Ersatzwert
26.10.2022 07:30 - 07:45;3825,000;0,00;2054,025;Ersatzwert
26.10.2022 07:45 - 08:00;3949,000;0,00;2120,613;Ersatzwert
26.10.2022 08:00 - 08:15;3977,000;0,00;2135,649;Ersatzwert
26.10.2022 08:15 - 08:30;3803,000;0,00;2042,211;Ersatzwert
26.10.2022 08:30 - 08:45;3685,000;0,00;1978,845;Ersatzwert
26.10.2022 08:45 - 09:00;3648,000;0,00;1958,976;Ersatzwert
26.10.2022 09:00 - 09:15;3667,000;0,00;1969,179;Ersatzwert
26.10.2022 09:15 - 09:30;3622,000;0,00;1945,014;Ersatzwert
26.10.2022 09:30 - 09:45;3859,000;0,00;2072,283;Ersatzwert
26.10.2022 09:45 - 10:00;3902,000;0,00;2095,374;Ersatzwert
26.10.2022 10:00 - 10:15;4088,000;0,00;2195,256;Ersatzwert
26.10.2022 10:15 - 10:30;3967,000;0,00;2130,279;Ersatzwert
26.10.2022 10:30 - 10:45;3819,000;0,00;2050,803;Ersatzwert
26.10.2022 10:45 - 11:00;3652,000;0,00;1961,124;Ersatzwert
26.10.2022 11:00 - 11:15;3476,000;0,00;1866,612;Ersatzwert
26.10.2022 11:15 - 11:30;3721,000;0,00;1998,177;Ersatzwert
26.10.2022 11:30 - 11:45;3240,000;0,00;1739,880;Ersatzwert
26.10.2022 11:45 - 12:00;3385,000;0,00;1817,745;Ersatzwert
26.10.2022 12:00 - 12:15;3287,000;0,00;1765,119;Ersatzwert
26.10.2022 12:15 - 12:30;3377,000;0,00;1813,449;Ersatzwert
26.10.2022 12:30 - 12:45;3509,000;0,00;1884,333;Ersatzwert
26.10.2022 12:45 - 13:00;3497,000;0,00;1877,889;Ersatzwert
26.10.2022 13:00 - 13:15;3226,000;0,00;1732,362;Ersatzwert
26.10.2022 13:15 - 13:30;3265,000;0,00;1753,305;Ersatzwert
26.10.2022 13:30 - 13:45;3280,000;0,00;1761,360;Ersatzwert
26.10.2022 13:45 - 14:00;3557,000;0,00;1910,109;Ersatzwert
26.10.2022 14:00 - 14:15;3521,000;0,00;1890,777;Ersatzwert
26.10.2022 14:15 - 14:30;3570,000;0,00;1917,090;Ersatzwert
26.10.2022 14:30 - 14:45;3719,000;0,00;1997,103;Ersatzwert
26.10.2022 14:45 - 15:00;3584,000;0,00;1924,608;Ersatzwert
26.10.2022 15:00 - 15:15;3483,000;0,00;1870,371;Ersatzwert
26.10.2022 15:15 - 15:30;3468,000;0,00;1862,316;Ersatzwert
26.10.2022 15:30 - 15:45;3509,000;0,00;1884,333;Ersatzwert
26.10.2022 15:45 - 16:00;3457,000;0,00;1856,409;Ersatzwert
26.10.2022 16:00 - 16:15;3469,000;0,00;1862,853;Ersatzwert
26.10.2022 16:15 - 16:30;3471,000;0,00;1863,927;Ersatzwert
26.10.2022 16:30 - 16:45;3687,000;0,00;1979,919;Ersatzwert
26.10.2022 16:45 - 17:00;3556,000;0,00;1909,572;Ersatzwert
26.10.2022 17:00 - 17:15;3596,000;0,00;1931,052;Ersatzwert
26.10.2022 17:15 - 17:30;3532,000;0,00;1896,684;Ersatzwert
26.10.2022 17:30 - 17:45;3326,000;0,00;1786,062;Ersatzwert
26.10.2022 17:45 - 18:00;3530,000;0,00;1895,610;Ersatzwert
26.10.2022 18:00 - 18:15;3588,000;0,00;1926,756;Ersatzwert
26.10.2022 18:15 - 18:30;3415,000;0,00;1833,855;Ersatzwert
26.10.2022 18:30 - 18:45;3477,000;0,00;1867,149;Ersatzwert
26.10.2022 18:45 - 19:00;3521,000;0,00;1890,777;Ersatzwert
26.10.2022 19:00 - 19:15;3858,000;0,00;2071,746;Ersatzwert
26.10.2022 19:15 - 19:30;3727,000;0,00;2001,399;Ersatzwert
26.10.2022 19:30 - 19:45;3679,000;0,00;1975,623;Ersatzwert
26.10.2022 19:45 - 20:00;3523,000;0,00;1891,851;Ersatzwert
26.10.2022 20:00 - 20:15;3409,000;0,00;1830,633;Ersatzwert
26.10.2022 20:15 - 20:30;3501,000;0,00;1880,037;Ersatzwert
26.10.2022 20:30 - 20:45;3681,000;0,00;1976,697;Ersatzwert
26.10.2022 20:45 - 21:00;3695,000;0,00;1984,215;Ersatzwert
26.10.2022 21:00 - 21:15;3557,000;0,00;1910,109;Ersatzwert
26.10.2022 21:15 - 21:30;3526,000;0,00;1893,462;Ersatzwert
26.10.2022 21:30 - 21:45;3487,000;0,00;1872,519;Ersatzwert
26.10.2022 21:45 - 22:00;3571,000;0,00;1917,627;Ersatzwert
26.10.2022 22:00 - 22:15;3547,000;0,00;1904,739;Ersatzwert
26.10.2022 22:15 - 22:30;3382,000;0,00;1816,134;Ersatzwert
26.10.2022 22:30 - 22:45;3432,000;0,00;1842,984;Ersatzwert
26.10.2022 22:45 - 23:00;3506,000;0,00;1882,722;Ersatzwert
26.10.2022 23:00 - 23:15;3410,000;0,00;1831,170;Ersatzwert
26.10.2022 23:15 - 23:30;3507,000;0,00;1883,259;Ersatzwert
26.10.2022 23:30 - 23:45;3576,000;0,00;1920,312;Ersatzwert
26.10.2022 23:45 - 00:00;3731,000;0,00;2003,547;Ersatzwert
